Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"4""x4"" (10.2x10.2cm)",,3.5ft (106.7cm),MANTLEBEAM2-28,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"4""x4"" (10.2x10.2cm)",,4ft (121.9cm),MANTLEBEAM2-29,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"4""x4"" (10.2x10.2cm)",,4.5ft (137.2cm),MANTLEBEAM2-30,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"4""x4"" (10.2x10.2cm)",,5ft (152.4cm),MANTLEBEAM2-31,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"4""x4"" (10.2x10.2cm)",,5.5ft (167.6cm),MANTLEBEAM2-32,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"4""x4"" (10.2x10.2cm)",,6ft (182.9cm),MANTLEBEAM2-33,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"4""x4"" (10.2x10.2cm)",,6.5ft (198.1cm),MANTLEBEAM2-34,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"4""x4"" (10.2x10.2cm)",,Sample2,MANTLEBEAM2-35,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"4""x5"" (10.2x12.7cm)",,3ft (91.4cm),MANTLEBEAM2-36,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"4""x5"" (10.2x12.7cm)",,3.5ft (106.7cm),MANTLEBEAM2-37,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"4""x5"" (10.2x12.7cm)",,4ft (121.9cm),MANTLEBEAM2-38,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"4""x5"" (10.2x12.7cm)",,4.5ft (137.2cm),MANTLEBEAM2-39,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"4""x5"" (10.2x12.7cm)",,5ft (152.4cm),MANTLEBEAM2-40,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"4""x5"" (10.2x12.7cm)",,5.5ft (167.6cm),MANTLEBEAM2-41,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"4""x5"" (10.2x12.7cm)",,6ft (182.9cm),MANTLEBEAM2-42,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"4""x5"" (10.2x12.7cm)",,6.5ft (198.1cm),MANTLEBEAM2-43,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"4""x5"" (10.2x12.7cm)",,Sample2,MANTLEBEAM2-44,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"4""x6"" (10.2x15.2cm)",,3ft (91.4cm),MANTLEBEAM2-45,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"4""x6"" (10.2x15.2cm)",,3.5ft (106.7cm),MANTLEBEAM2-46,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"4""x6"" (10.2x15.2cm)",,4ft (121.9cm),MANTLEBEAM2-47,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"4""x6"" (10.2x15.2cm)",,4.5ft (137.2cm),MANTLEBEAM2-48,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"4""x6"" (10.2x15.2cm)",,5ft (152.4cm),MANTLEBEAM2-49,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"4""x6"" (10.2x15.2cm)",,5.5ft (167.6cm),MANTLEBEAM2-50,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"4""x6"" (10.2x15.2cm)",,6ft (182.9cm),MANTLEBEAM2-51,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplac,,,,,,,,,"4""x6"" (10.2x15.2cm)",,6.5ft (198.1cm),MANTLEBEAM2-52,0,shopify,3,deny,manual,20.00,24.00,TRUE,TRUE,,,,
